"minute","x","Control","A","B","w","n","a"
3556,16.5902738213587,15.1003866788835,29.9998671912409,13.4095933698822,1.00860996442678,16.7300809133301,1.99999195201623
3557,16.5932821518597,15.1003867535602,29.9998670238834,13.4065848720237,1.00826961600081,16.7274690152097,1.99999193096841
3558,16.5962901419778,15.1003868256545,29.9998668505112,13.4035767085333,1.00792938242306,16.7248566316956,1.99999190986162
3559,16.5992977917346,15.1003868952364,29.9998666712603,13.4005688795257,1.00758926365476,16.7222437635562,1.99999188869569
3560,16.6023051011462,15.1003869623729,29.9998664862615,13.3975613851153,1.00724925965718,16.7196304115538,1.99999186747044
3561,16.6053120702231,15.1003870271282,29.9998662956398,13.3945542254166,1.00690937039159,16.7170165764441,1.99999184618572
3562,16.608318698971,15.1003870895638,29.9998660995149,13.3915474005439,1.00656959581926,16.7144022589773,1.99999182484135
3563,16.6113249873901,15.1003871497389,29.9998658980016,13.3885409106115,1.00622993590151,16.7117874598974,1.99999180343715
3564,16.6143309354762,15.1003872077099,29.9998656912098,13.3855347557336,1.00589039059964,16.7091721799434,1.99999178197297
3565,16.61733654322,15.1003872635312,29.9998654792444,13.3825289360244,1.00555095987497,16.7065564198484,1.99999176044862
3566,16.6203418106081,15.1003873172545,29.9998652622061,13.379523451598,1.00521164368884,16.7039401803407,1.99999173886393
3567,16.6233467376224,15.1003873689295,29.9998650401908,13.3765183025684,1.00487244200259,16.7013234621436,1.99999171721874
3568,16.6263513242408,15.1003874186038,29.9998648132904,13.3735134890496,1.00453335477761,16.6987062659752,1.99999169551286
3569,16.6293555704371,15.1003874663227,29.9998645815926,13.3705090111555,1.00419438197525,16.6960885925493,1.99999167374613
3570,16.6323594761811,15.1003875121298,29.999864345181,13.3675048689999,1.00385552355691,16.6934704425751,1.99999165191837
3571,16.6353630414389,15.1003875560665,29.9998641041355,13.3645010626966,1.00351677948398,16.6908518167572,1.99999163002941
3572,16.6383662661728,15.1003875981725,29.999863858532,13.3614975923592,1.00317814971789,16.6882327157962,1.99999160807906
3573,16.6413691503416,15.1003876384854,29.999863608443,13.3584944581014,1.00283963422007,16.6856131403883,1.99999158606716
3574,16.6443716939006,15.1003876770412,29.9998633539374,13.3554916600368,1.00250123295195,16.6829930912259,1.99999156399352
3575,16.6473738968017,15.1003877138744,29.9998630950805,13.3524891982788,1.00216294587498,16.6803725689975,1.99999154185797
3576,16.6503757589937,15.1003877490174,29.9998628319346,13.3494870729409,1.00182477295064,16.6777515743877,1.99999151966034
3577,16.653377280422,15.1003877825013,29.9998625645585,13.3464852841365,1.0014867141404,16.6751301080775,1.99999149740044
3578,16.6563784610291,15.1003878143555,29.999862293008,13.3434838319788,1.00114876940576,16.6725081707443,1.9999914750781
3579,16.6593793007545,15.1003878446078,29.9998620173356,13.3404827165811,1.00081093870822,16.669885763062,1.99999145269313
3580,16.6623797995347,15.1003878732846,29.9998617375912,13.3374819380565,1.00047322200931,16.667262885701,1.99999143024536
3581,16.6653799573033,15.1003879004108,29.9998614538215,13.3344814965182,1.00013561927055,16.6646395393286,1.9999914077346
3582,16.6683797739913,15.1003879260099,29.9998611660705,13.3314813920791,0.999798130453483,16.6620157246088,1.99999138516068
3583,16.6713792495269,15.100387950104,29.9998608743792,13.3284816248523,0.999460755519677,16.6593914422023,1.99999136252341
3584,16.6743783838356,15.1003879727138,29.9998605787862,13.3254821949506,0.999123494430699,16.6567666927668,1.99999133982262
3585,16.6773771768404,15.1003879938587,29.9998602793272,13.3224831024868,0.998786347148133,16.6541414769569,1.99999131705812
3586,16.6803756284617,15.1003880135569,29.9998599760355,13.3194843475738,0.998449313633576,16.6515157954245,1.99999129422972
3587,16.6833737386174,15.100388031825,29.9998596689416,13.3164859303241,0.998112393848636,16.6488896488183,1.99999127133724
3588,16.6863715072231,15.1003880486786,29.9998593580737,13.3134878508506,0.997775587754938,16.6462630377843,1.9999912483805
3589,16.6893689341919,15.1003880641321,29.9998590434575,13.3104901092656,0.997438895314116,16.6436359629656,1.99999122535932
3590,16.6923660194344,15.1003880781986,29.9998587251161,13.3074927056817,0.997102316487819,16.6410084250026,1.99999120227351
3591,16.6953627628592,15.10038809089,29.9998584030706,13.3044956402114,0.996765851237709,16.638380424533,1.99999117912287
3592,16.6983591643724,15.1003881022169,29.9998580773393,13.3014989129669,0.996429499525461,16.6357519621918,1.99999115590724
3593,16.7013552238777,15.1003881121889,29.9998577479384,13.2985025240607,0.996093261312761,16.6331230386115,1.99999113262641
3594,16.7043509412769,15.1003881208145,29.9998574148818,13.2955064736048,0.99575713656131,16.6304936544217,1.99999110928021
3595,16.7073463164695,15.1003881281008,29.999857078181,13.2925107617116,0.995421125232822,16.6278638102498,1.99999108586844
3596,16.7103413493525,15.100388134054,29.9998567378455,13.289515388493,0.995085227289022,16.6252335067204,1.99999106239091
3597,16.7133360398212,15.1003881386791,29.9998563938823,13.2865203540611,0.99474944269165,16.6226027444557,1.99999103884744
3598,16.7163303877683,15.10038814198,29.9998560462962,13.2835256585279,0.994413771402458,16.6199715240752,1.99999101523784
3599,16.7193243930847,15.1003881439595,29.9998556950899,13.2805313020052,0.994078213383211,16.6173398461962,1.99999099156191
3600,16.7223180556589,15.1003881446191,29.9998553402639,13.277537284605,0.993742768595686,16.6147077114334,1.99999096781947
3601,10.0330080536546,15.1003881439595,29.9999908216125,19.9669827679579,1.99340743700167,33.3343931760579,1.99999999999951
3602,10.0363814938868,15.10038814198,29.9999861974962,19.9636047036093,1.9927347755097,19.9931240514864,1.99999969198716
3603,10.0397564745254,15.1003881386791,29.9999861908161,19.9602297162907,1.99206234100267,19.9930976139081,1.99999969197901
